1216, 1253, 1040, 1316, 973, 990, 1043, 2006, 1440, 993
970, 890, 876, 693, 1070, 883, 1140, 1070, 776, 1170
893, 803, 906, 983, 890, 813, 993, 850, 956, 1056
1113, 890, 926, 956, 976, 936, 1043, 830, 1086, 806
1240, 1456, 1640, 1860, 1970, 2350, 1843, 1356, 1440, 2266
1203, 966, 1123, 1123, 1106, 1076, 1203, 920, 1223, 1283
1336, 1400, 1256, 1850, 1013, 1296, 1256, 1720, 1333, 1010
2376, 1866, 1836, 2186, 2076, 1880, 2040, 2256, 1933, 2283
910, 1063, 1156, 1103, 1560, 1156, 956, 1393, 1016, 1360
1050, 1236, 1290, 1046, 1573, 1593, 1273, 1043, 1056, 1370
5620, 4063, 5116, 5120, 4926, 5260, 3940, 5643, 4690, 4133
8023, 6290, 8446, 8283, 8256, 7090, 7880, 7243, 6613, 9670
2426, 1496, 3363, 2640, 2463, 2230, 2386, 1810, 2503, 2416
6120, 5003, 4200, 5836, 6073, 6300, 5033, 5310, 5480, 4750
3316, 3026, 4713, 4410, 3610, 3923, 5100, 4000, 4363, 3466
10850, 9680, 10950, 12870, 11340, 12610, 8066, 12253, 9556, 10076
1906, 1250, 1656, 1093, 1373, 1676, 1790, 1883, 1293, 1260
1966, 1736, 1776, 1953, 1860, 1826, 1946, 1546, 2116, 1800
10780, 0, 9403, 11420, 7870, 8156, 9723, 7796, 11793, 0
2946, 2543, 2220, 3213, 2150, 2606, 2510, 2370, 3116, 2683
8896, 7156, 7756, 7100, 7720, 6736, 6873, 8206, 7076, 6760
4370, 4336, 4933, 4133, 4756, 4000, 3483, 4386, 4116, 4973
3600, 3036, 3776, 3813, 4783, 3850, 5180, 3753, 4370, 4026
6533, 7096, 8233, 8106, 7186, 8593, 6400, 6050, 7180, 7760
6596, 6183, 5730, 6506, 0, 6406, 6610, 6566, 7073, 7106
8380, 6313, 5660, 5696, 5866, 5140, 6223, 5676, 6496, 5660
3763, 2796, 3213, 2913, 3226, 3646, 3113, 3680, 3323, 3770
